[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000979s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001080s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025264s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025463s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001289s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000655s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000265s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001231s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003797s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000799s ]
[ 2015-03-23T23:37:58+08:00 ] /thinkphpTest/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000983s ]
[ 2015-03-23T23:38:01+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ route_check ] --START--
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001712s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001871s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ app_begin ] --START--
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001948s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002162s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_template ] --START--
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.001558s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.001637s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_parse ] --START--
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.011779s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011864s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_filter ] --START--
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.000761s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001041s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000903s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.001213s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004189s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_end ] --START--
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000785s ]
[ 2015-03-23T23:38:46+08:00 ] /thinkphpTest/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.000837s ]
