[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001117s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001188s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001522s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001589s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.014584s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014686s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000768s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000824s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000724s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000835s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003310s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000823s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000877s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002497s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002814s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001376s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001480s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001426s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001536s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.011551s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011643s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000805s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000791s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000621s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000799s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003169s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000810s ]
[ 2015-02-24T00:03:24+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000862s ]
[ 2015-02-24T00:03:29+08:00 ] /thinkphpTest/Public/Css/home/bootstrap.css.map | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001166s ]
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001390s ]
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000599s ]
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000668s ]
[ 2015-02-24T00:04:13+08:00 ] /thinkphpTest/index.php/Login | INFO: Tag[ view_template ] --START--
