[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 42 行.
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013040s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013112s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000352s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000353s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000209s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001028s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002086s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001490s ]
[ 2015-02-20T00:00:58+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001571s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001118s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001308s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000929s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001030s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005431s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005281s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.id WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000331s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000672s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000729s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 42 行.
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016011s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016078s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000478s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000361s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000204s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001057s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002251s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001616s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001680s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000753s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000830s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000458s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000510s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004038s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.005619s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.id WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.000222s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001256s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001313s ]
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 42 行.
[ 2015-02-20T00:01:00+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013867s ]
