[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ContentReplace Behavior [ RunTime:0.000342s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run TokenBuild Behavior [ RunTime:0.000337s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000203s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000407s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001437s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_end ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000366s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000413s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ route_check ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run CheckRoute Behavior [ RunTime:0.000667s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000766s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ app_begin ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000654s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.002827s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | SQL: SELECT COUNT(*) AS tp_count FROM `think_memo` LIMIT 1   [ RunTime:0.003688s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | SQL: SELECT * FROM `think_memo` WHERE isSubmitted=1 LIMIT 5,5   [ RunTime:0.000277s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | SQL: SELECT * FROM `think_memo` LIMIT 5,5   [ RunTime:0.000170s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_template ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000400s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000453s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_parse ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.009888s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009968s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_filter ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ContentReplace Behavior [ RunTime:0.000348s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run TokenBuild Behavior [ RunTime:0.000315s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000189s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000372s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001365s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_end ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000339s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000384s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ route_check ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run CheckRoute Behavior [ RunTime:0.000677s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000752s ]
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Tag[ app_begin ] --START--
[ 2015-02-19T02:09:26+08:00 ] /thinkphpTest/index.php/Memo/index/page/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000429s ]
