[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001139s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001271s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 49 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 52 行.
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.015042s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015153s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000745s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000773s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000343s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000702s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002841s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000713s ]
[ 2015-02-16T00:19:38+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000841s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.000916s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001033s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000623s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000705s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004589s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.005978s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Undefined index:  content IndexAction.class.php 第 7 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000792s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000881s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 49 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 52 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.039725s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039804s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000573s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000811s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001081s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000990s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004100s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000510s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000601s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001110s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001284s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001906s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002257s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.007097s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.005136s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Undefined index:  content IndexAction.class.php 第 7 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000848s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000939s ]
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 49 行.
[ 2015-02-16T00:19:39+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
