[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000633s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000809s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003291s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --START--
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000801s ]
[ 2015-02-17T21:55:43+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000856s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000555s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000663s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.007696s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.006447s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --START--
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001224s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001305s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009575s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009672s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000384s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000398s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000244s ]
[ 2015-02-17T21:55:57+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000438s ]
