[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | SQL: SELECT * FROM `think_article` WHERE id=108 LIMIT 1   [ RunTime:0.086415s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_template ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run LocationTemplate Behavior [ RunTime:0.002614s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002692s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_parse ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  dashboard 9ce4b9130cad61dbd0bbd49942681a43.php 第 42 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  memo 9ce4b9130cad61dbd0bbd49942681a43.php 第 46 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  new_memo 9ce4b9130cad61dbd0bbd49942681a43.php 第 50 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  manage_memo 9ce4b9130cad61dbd0bbd49942681a43.php 第 51 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  new_article 9ce4b9130cad61dbd0bbd49942681a43.php 第 58 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  manage_article 9ce4b9130cad61dbd0bbd49942681a43.php 第 59 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  manage_draft 9ce4b9130cad61dbd0bbd49942681a43.php 第 60 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | NOTIC: [8] Undefined index:  message 9ce4b9130cad61dbd0bbd49942681a43.php 第 111 行.
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run ParseTemplate Behavior [ RunTime:0.013540s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013613s ]
